Epoch,Loss,Value
0,recon_loss,331717.65625
0,kl_loss,0.09676452726125717
0,kl_loss_0,0.09676452726125717
0,loss,336373.15625
50,recon_loss,159866.609375
50,kl_loss,13.572497367858887
50,kl_loss_0,13.572497367858887
50,loss,159894.828125
100,recon_loss,28131.3828125
100,kl_loss,11.9935302734375
100,kl_loss_0,11.9935302734375
100,loss,28214.890625
150,recon_loss,8931.978515625
150,kl_loss,10.400785446166992
150,kl_loss_0,10.400785446166992
150,loss,8960.4013671875
200,recon_loss,4670.72509765625
200,kl_loss,10.096402168273926
200,kl_loss_0,10.096402168273926
200,loss,4681.169921875
250,recon_loss,3058.35546875
250,kl_loss,9.941803932189941
250,kl_loss_0,9.941803932189941
250,loss,3068.68896484375
300,recon_loss,2063.379150390625
300,kl_loss,10.290499687194824
300,kl_loss_0,10.290499687194824
300,loss,2073.73046875
350,recon_loss,1412.19970703125
350,kl_loss,10.206578254699707
350,kl_loss_0,10.206578254699707
350,loss,1422.4573974609375
400,recon_loss,1125.2752685546875
400,kl_loss,10.005561828613281
400,kl_loss_0,10.005561828613281
400,loss,1135.4979248046875
450,recon_loss,845.8413696289062
450,kl_loss,9.976155281066895
450,kl_loss_0,9.976155281066895
450,loss,855.9805908203125
500,recon_loss,695.172119140625
500,kl_loss,9.705767631530762
500,kl_loss_0,9.705767631530762
500,loss,705.045654296875
550,recon_loss,555.087890625
550,kl_loss,9.486660957336426
550,kl_loss_0,9.486660957336426
550,loss,564.6685791015625
600,recon_loss,472.1732177734375
600,kl_loss,9.15930461883545
600,kl_loss_0,9.15930461883545
600,loss,481.3622741699219
650,recon_loss,482.6246643066406
650,kl_loss,9.179533958435059
650,kl_loss_0,9.179533958435059
650,loss,492.12506103515625
700,recon_loss,403.7367248535156
700,kl_loss,9.028121948242188
700,kl_loss_0,9.028121948242188
700,loss,412.8907470703125
750,recon_loss,351.785888671875
750,kl_loss,8.42844295501709
750,kl_loss_0,8.42844295501709
750,loss,360.53082275390625
800,recon_loss,292.1714782714844
800,kl_loss,8.387967109680176
800,kl_loss_0,8.387967109680176
800,loss,300.9183654785156
850,recon_loss,276.9813537597656
850,kl_loss,8.265089988708496
850,kl_loss_0,8.265089988708496
850,loss,285.3776550292969
900,recon_loss,213.86810302734375
900,kl_loss,8.173442840576172
900,kl_loss_0,8.173442840576172
900,loss,222.0452423095703
950,recon_loss,204.7190399169922
950,kl_loss,8.163703918457031
950,kl_loss_0,8.163703918457031
950,loss,213.0269775390625
Epoch,Loss,Value
0,recon_loss,251.5702362060547
0,kl_loss,7.626139163970947
0,kl_loss_0,7.626139163970947
0,loss,4095999983222784.0
50,recon_loss,518311.84375
50,kl_loss,1486687744.0
50,kl_loss_0,1486687744.0
50,loss,18638673281024.0
100,recon_loss,444592.25
100,kl_loss,1314958080.0
100,kl_loss_0,1314958080.0
100,loss,210768642048.0
150,recon_loss,440764.25
150,kl_loss,1297904256.0
150,kl_loss_0,1297904256.0
150,loss,1334357504.0
200,recon_loss,414336.59375
200,kl_loss,1297920128.0
200,kl_loss_0,1297920128.0
200,loss,2024100096.0
250,recon_loss,322023.6875
250,kl_loss,1298663936.0
250,kl_loss_0,1298663936.0
250,loss,1299309440.0
300,recon_loss,296056.84375
300,kl_loss,1298586624.0
300,kl_loss_0,1298586624.0
300,loss,1298918400.0
350,recon_loss,458774.40625
350,kl_loss,1298547712.0
350,kl_loss_0,1298547712.0
350,loss,1305149696.0
400,recon_loss,373434.25
400,kl_loss,1298694272.0
400,kl_loss_0,1298694272.0
400,loss,1493402496.0
450,recon_loss,289875.46875
450,kl_loss,1298237568.0
450,kl_loss_0,1298237568.0
450,loss,1305562112.0
500,recon_loss,271951.15625
500,kl_loss,1298109696.0
500,kl_loss_0,1298109696.0
500,loss,1298384384.0
550,recon_loss,245321.3125
550,kl_loss,1298084480.0
550,kl_loss_0,1298084480.0
550,loss,1298359936.0
600,recon_loss,212760.390625
600,kl_loss,1298068864.0
600,kl_loss_0,1298068864.0
600,loss,1298283392.0
650,recon_loss,208249.578125
650,kl_loss,1298048768.0
650,kl_loss_0,1298048768.0
650,loss,1298260096.0
700,recon_loss,175742.25
700,kl_loss,1298023936.0
700,kl_loss_0,1298023936.0
700,loss,1298223104.0
750,recon_loss,162365.15625
750,kl_loss,1298011776.0
750,kl_loss_0,1298011776.0
750,loss,1298176768.0
800,recon_loss,178295.515625
800,kl_loss,1297985792.0
800,kl_loss_0,1297985792.0
800,loss,1298173568.0
850,recon_loss,349075.40625
850,kl_loss,1297970432.0
850,kl_loss_0,1297970432.0
850,loss,1298340608.0
900,recon_loss,237656.578125
900,kl_loss,1297943040.0
900,kl_loss_0,1297943040.0
900,loss,1298183040.0
950,recon_loss,227407.5625
950,kl_loss,1297920512.0
950,kl_loss_0,1297920512.0
950,loss,1298148736.0
