Epoch,Loss,Value
0,recon_loss,542180.1875
0,kl_loss,3.8976728916168213
0,kl_loss_0,1.2699040174484253
0,kl_loss_1,1.2928026914596558
0,kl_loss_2,0.04964280501008034
0,kl_loss_3,0.45469871163368225
0,kl_loss_4,0.20937536656856537
0,kl_loss_5,0.2116139978170395
0,kl_loss_6,0.1269393116235733
0,kl_loss_7,0.2431778907775879
0,kl_loss_8,0.039518289268016815
0,loss,3502767.0
50,recon_loss,199159.453125
50,kl_loss,50.630653381347656
50,kl_loss_0,4.738615036010742
50,kl_loss_1,4.099541187286377
50,kl_loss_2,2.8786420822143555
50,kl_loss_3,16.067047119140625
50,kl_loss_4,4.512652397155762
50,kl_loss_5,2.6343274116516113
50,kl_loss_6,1.9865219593048096
50,kl_loss_7,7.936934947967529
50,kl_loss_8,5.776369571685791
50,loss,200669.625
100,recon_loss,89245.640625
100,kl_loss,56.37501907348633
100,kl_loss_0,4.71940279006958
100,kl_loss_1,4.904499053955078
100,kl_loss_2,3.611703872680664
100,kl_loss_3,18.322603225708008
100,kl_loss_4,4.650725841522217
100,kl_loss_5,3.0009307861328125
100,kl_loss_6,2.3684442043304443
100,kl_loss_7,8.390311241149902
100,kl_loss_8,6.406400203704834
100,loss,90136.2890625
150,recon_loss,78434.1640625
150,kl_loss,57.05402755737305
150,kl_loss_0,4.825605869293213
150,kl_loss_1,4.919203281402588
150,kl_loss_2,3.6432831287384033
150,kl_loss_3,18.490612030029297
150,kl_loss_4,4.64203405380249
150,kl_loss_5,3.1305367946624756
150,kl_loss_6,2.467034101486206
150,kl_loss_7,8.369945526123047
150,kl_loss_8,6.5657758712768555
150,loss,79251.8984375
200,recon_loss,74981.78125
200,kl_loss,55.661163330078125
200,kl_loss_0,4.757177352905273
200,kl_loss_1,4.6741814613342285
200,kl_loss_2,3.6629092693328857
200,kl_loss_3,17.661733627319336
200,kl_loss_4,4.582644462585449
200,kl_loss_5,3.1950337886810303
200,kl_loss_6,2.4343111515045166
200,kl_loss_7,8.284004211425781
200,kl_loss_8,6.4091668128967285
200,loss,75696.0234375
250,recon_loss,73258.3984375
250,kl_loss,53.39679718017578
250,kl_loss_0,4.695212364196777
250,kl_loss_1,4.277811050415039
250,kl_loss_2,3.6850244998931885
250,kl_loss_3,16.549585342407227
250,kl_loss_4,4.525132656097412
250,kl_loss_5,3.278864860534668
250,kl_loss_6,2.292470932006836
250,kl_loss_7,7.686644077301025
250,kl_loss_8,6.406054496765137
250,loss,73909.6484375
300,recon_loss,72166.3125
300,kl_loss,51.06097412109375
300,kl_loss_0,4.681295871734619
300,kl_loss_1,3.704925537109375
300,kl_loss_2,3.650960683822632
300,kl_loss_3,15.263379096984863
300,kl_loss_4,4.444512844085693
300,kl_loss_5,3.3188836574554443
300,kl_loss_6,2.197505474090576
300,kl_loss_7,7.449437141418457
300,kl_loss_8,6.3500776290893555
300,loss,72783.8203125
350,recon_loss,70914.421875
350,kl_loss,49.41587448120117
350,kl_loss_0,4.57383394241333
350,kl_loss_1,3.474033832550049
350,kl_loss_2,3.7215805053710938
350,kl_loss_3,14.28823471069336
350,kl_loss_4,4.325199127197266
350,kl_loss_5,3.3643784523010254
350,kl_loss_6,2.201874017715454
350,kl_loss_7,7.3162078857421875
350,kl_loss_8,6.150533676147461
350,loss,71528.484375
400,recon_loss,68207.96875
400,kl_loss,49.653072357177734
400,kl_loss_0,4.608635902404785
400,kl_loss_1,3.6188924312591553
400,kl_loss_2,3.7998547554016113
400,kl_loss_3,13.933795928955078
400,kl_loss_4,4.411777496337891
400,kl_loss_5,3.4124231338500977
400,kl_loss_6,2.3277363777160645
400,kl_loss_7,7.3439860343933105
400,kl_loss_8,6.195969104766846
400,loss,68860.2421875
450,recon_loss,56379.67578125
450,kl_loss,57.03947448730469
450,kl_loss_0,5.160125255584717
450,kl_loss_1,4.0798139572143555
450,kl_loss_2,5.248479843139648
450,kl_loss_3,15.539997100830078
450,kl_loss_4,5.143967151641846
450,kl_loss_5,3.618312358856201
450,kl_loss_6,2.8006958961486816
450,kl_loss_7,8.263532638549805
450,kl_loss_8,7.184548854827881
450,loss,57319.0703125
500,recon_loss,36768.23828125
500,kl_loss,64.58242797851562
500,kl_loss_0,5.2642693519592285
500,kl_loss_1,4.161606311798096
500,kl_loss_2,5.997962474822998
500,kl_loss_3,19.861143112182617
500,kl_loss_4,5.552629470825195
500,kl_loss_5,3.7650864124298096
500,kl_loss_6,3.4750640392303467
500,kl_loss_7,8.313610076904297
500,kl_loss_8,8.191061019897461
500,loss,37879.9140625
550,recon_loss,21304.345703125
550,kl_loss,68.62617492675781
550,kl_loss_0,5.058277130126953
550,kl_loss_1,4.368591785430908
550,kl_loss_2,6.9586992263793945
550,kl_loss_3,21.329526901245117
550,kl_loss_4,5.950132369995117
550,kl_loss_5,3.7334375381469727
550,kl_loss_6,3.895000696182251
550,kl_loss_7,8.497428894042969
550,kl_loss_8,8.835083961486816
550,loss,22464.90625
600,recon_loss,15295.0
600,kl_loss,68.2868423461914
600,kl_loss_0,5.084744930267334
600,kl_loss_1,4.442367076873779
600,kl_loss_2,7.031842231750488
600,kl_loss_3,20.771501541137695
600,kl_loss_4,6.043323516845703
600,kl_loss_5,3.802920341491699
600,kl_loss_6,3.998286485671997
600,kl_loss_7,8.544695854187012
600,kl_loss_8,8.567159652709961
600,loss,16289.96875
650,recon_loss,12737.3828125
650,kl_loss,67.20463562011719
650,kl_loss_0,5.033269882202148
650,kl_loss_1,4.478165626525879
650,kl_loss_2,7.090234279632568
650,kl_loss_3,19.831153869628906
650,kl_loss_4,6.157968521118164
650,kl_loss_5,3.814321517944336
