Epoch,Loss,Value
0,recon_loss,100.20243072509766
0,kl_loss,4.9745049476623535
0,kl_loss_0,4.9745049476623535
0,loss,3124.25146484375
50,recon_loss,89.0970230102539
50,kl_loss,4.194999694824219
50,kl_loss_0,4.194999694824219
50,loss,302.4190673828125
100,recon_loss,166.1747283935547
100,kl_loss,3.289327383041382
100,kl_loss_0,3.289327383041382
100,loss,333.72802734375
150,recon_loss,105.37432861328125
150,kl_loss,3.2996022701263428
150,kl_loss_0,3.2996022701263428
150,loss,272.68927001953125
200,recon_loss,98.76032257080078
200,kl_loss,3.124826669692993
200,kl_loss_0,3.124826669692993
200,loss,257.1988830566406
250,recon_loss,110.8668441772461
250,kl_loss,3.0337555408477783
250,kl_loss_0,3.0337555408477783
250,loss,265.220947265625
300,recon_loss,114.32638549804688
300,kl_loss,2.98219895362854
300,kl_loss_0,2.98219895362854
300,loss,264.19586181640625
350,recon_loss,101.79717254638672
350,kl_loss,2.8225300312042236
350,kl_loss_0,2.8225300312042236
350,loss,243.05764770507812
400,recon_loss,81.44037628173828
400,kl_loss,2.985051393508911
400,kl_loss_0,2.985051393508911
400,loss,231.42886352539062
450,recon_loss,78.88909149169922
450,kl_loss,3.003502130508423
450,kl_loss_0,3.003502130508423
450,loss,229.22540283203125
500,recon_loss,107.32540893554688
500,kl_loss,2.9483554363250732
500,kl_loss_0,2.9483554363250732
500,loss,254.9739990234375
550,recon_loss,67.17214965820312
550,kl_loss,3.403435468673706
550,kl_loss_0,3.403435468673706
550,loss,237.89236450195312
600,recon_loss,71.30699920654297
600,kl_loss,3.1010854244232178
600,kl_loss_0,3.1010854244232178
600,loss,226.37533569335938
650,recon_loss,76.75096130371094
650,kl_loss,2.874865770339966
650,kl_loss_0,2.874865770339966
650,loss,220.84906005859375
700,recon_loss,79.32271575927734
700,kl_loss,2.8537254333496094
700,kl_loss_0,2.8537254333496094
700,loss,224.1055908203125
750,recon_loss,125.2435531616211
750,kl_loss,2.736445665359497
750,kl_loss_0,2.736445665359497
750,loss,262.1318054199219
800,recon_loss,99.47097778320312
800,kl_loss,2.658916711807251
800,kl_loss_0,2.658916711807251
800,loss,232.86489868164062
850,recon_loss,66.16702270507812
850,kl_loss,2.915266275405884
850,kl_loss_0,2.915266275405884
850,loss,212.2786865234375
900,recon_loss,20454.91796875
900,kl_loss,7.2321624755859375
900,kl_loss_0,7.2321624755859375
900,loss,21102.109375
950,recon_loss,1423.9195556640625
950,kl_loss,7.035955429077148
950,kl_loss_0,7.035955429077148
950,loss,1802.2774658203125
1000,recon_loss,274.15264892578125
1000,kl_loss,5.350240230560303
1000,kl_loss_0,5.350240230560303
1000,loss,542.3067626953125
1050,recon_loss,207.7498779296875
1050,kl_loss,3.8156795501708984
1050,kl_loss_0,3.8156795501708984
1050,loss,398.75640869140625
1100,recon_loss,460.9448547363281
1100,kl_loss,18.58176040649414
1100,kl_loss_0,18.58176040649414
1100,loss,1390.126953125
1150,recon_loss,15204.47265625
1150,kl_loss,19.8570499420166
1150,kl_loss_0,19.8570499420166
1150,loss,16317.27734375
1200,recon_loss,3084.679443359375
1200,kl_loss,14.205013275146484
1200,kl_loss_0,14.205013275146484
1200,loss,3797.516357421875
1250,recon_loss,1156.8216552734375
1250,kl_loss,9.019265174865723
1250,kl_loss_0,9.019265174865723
1250,loss,1608.7877197265625
1300,recon_loss,459.6374206542969
1300,kl_loss,7.187777996063232
1300,kl_loss_0,7.187777996063232
1300,loss,819.39892578125
1350,recon_loss,355.6874084472656
1350,kl_loss,5.932979106903076
1350,kl_loss_0,5.932979106903076
1350,loss,652.5162353515625
1400,recon_loss,502.6748962402344
1400,kl_loss,6.157974720001221
1400,kl_loss_0,6.157974720001221
1400,loss,811.0015869140625
1450,recon_loss,255.1449432373047
1450,kl_loss,5.209043979644775
1450,kl_loss_0,5.209043979644775
1450,loss,515.9493408203125
1500,recon_loss,277.79815673828125
1500,kl_loss,4.3868184089660645
1500,kl_loss_0,4.3868184089660645
1500,loss,497.4029541015625
1550,recon_loss,181.05694580078125
1550,kl_loss,4.194805145263672
1550,kl_loss_0,4.194805145263672
1550,loss,392.77764892578125
1600,recon_loss,179.49522399902344
1600,kl_loss,4.08768367767334
1600,kl_loss_0,4.08768367767334
1600,loss,384.09283447265625
1650,recon_loss,155.4791717529297
1650,kl_loss,4.341777324676514
1650,kl_loss_0,4.341777324676514
1650,loss,372.89715576171875
1700,recon_loss,141.4036407470703
1700,kl_loss,4.304587364196777
1700,kl_loss_0,4.304587364196777
1700,loss,356.64263916015625
1750,recon_loss,144.33096313476562
1750,kl_loss,3.8435115814208984
1750,kl_loss_0,3.8435115814208984
1750,loss,336.53558349609375
1800,recon_loss,122.20001983642578
1800,kl_loss,3.9031925201416016
1800,kl_loss_0,3.9031925201416016
1800,loss,317.42840576171875
1850,recon_loss,126.93950653076172
1850,kl_loss,3.3612377643585205
1850,kl_loss_0,3.3612377643585205
1850,loss,295.0088195800781
1900,recon_loss,125.67560577392578
1900,kl_loss,3.4058735370635986
1900,kl_loss_0,3.4058735370635986
1900,loss,296.01068115234375
1950,recon_loss,163.65399169921875
1950,kl_loss,3.6722593307495117
1950,kl_loss_0,3.6722593307495117
1950,loss,347.5245361328125
2000,recon_loss,127.64141082763672
2000,kl_loss,3.369004249572754
2000,kl_loss_0,3.369004249572754
2000,loss,296.18267822265625
2050,recon_loss,95.59613037109375
2050,kl_loss,3.1697235107421875
2050,kl_loss_0,3.1697235107421875
2050,loss,254.18450927734375
2100,recon_loss,131.89407348632812
