Epoch,Loss,Value
0,recon_loss,533603.375
0,kl_loss,1.7745859622955322
0,kl_loss_0,0.0320667065680027
0,kl_loss_1,0.6167634725570679
0,kl_loss_2,0.6676396727561951
0,kl_loss_3,0.08905971795320511
0,kl_loss_4,0.029811354354023933
0,kl_loss_5,0.030139951035380363
0,kl_loss_6,0.02442309446632862
0,kl_loss_7,0.0866890698671341
0,kl_loss_8,0.19799278676509857
0,loss,1248877.5
50,recon_loss,200156.234375
50,kl_loss,70.47059631347656
50,kl_loss_0,3.244736909866333
50,kl_loss_1,29.065322875976562
50,kl_loss_2,3.9761617183685303
50,kl_loss_3,2.93888783454895
50,kl_loss_4,3.4038925170898438
50,kl_loss_5,6.157952785491943
50,kl_loss_6,1.903530240058899
50,kl_loss_7,15.675495147705078
50,kl_loss_8,4.104613304138184
50,loss,200803.46875
100,recon_loss,101177.8125
100,kl_loss,86.49998474121094
100,kl_loss_0,3.9243743419647217
100,kl_loss_1,35.760520935058594
100,kl_loss_2,4.617817401885986
100,kl_loss_3,3.800471544265747
100,kl_loss_4,3.7504079341888428
100,kl_loss_5,7.593925952911377
100,kl_loss_6,2.7243378162384033
100,kl_loss_7,19.6376953125
100,kl_loss_8,4.690435886383057
100,loss,101629.296875
150,recon_loss,87815.6171875
150,kl_loss,96.92137145996094
150,kl_loss_0,4.352820873260498
150,kl_loss_1,39.857215881347656
150,kl_loss_2,5.04741907119751
150,kl_loss_3,4.330247402191162
150,kl_loss_4,4.019032001495361
150,kl_loss_5,8.41342544555664
150,kl_loss_6,3.1999073028564453
150,kl_loss_7,22.503934860229492
150,kl_loss_8,5.197373867034912
150,loss,88060.7890625
200,recon_loss,83747.09375
200,kl_loss,104.19412231445312
200,kl_loss_0,4.650900363922119
200,kl_loss_1,42.90522003173828
200,kl_loss_2,5.412658214569092
200,kl_loss_3,4.702270030975342
200,kl_loss_4,4.174402236938477
200,kl_loss_5,8.984601020812988
200,kl_loss_6,3.471475601196289
200,kl_loss_7,24.373525619506836
200,kl_loss_8,5.519068717956543
200,loss,83947.8671875
250,recon_loss,81750.7734375
250,kl_loss,103.82295989990234
250,kl_loss_0,4.612582206726074
250,kl_loss_1,42.7149772644043
250,kl_loss_2,5.473278045654297
250,kl_loss_3,4.805998802185059
250,kl_loss_4,4.155886173248291
250,kl_loss_5,8.758428573608398
250,kl_loss_6,3.446983575820923
250,kl_loss_7,24.27764892578125
250,kl_loss_8,5.577175140380859
250,loss,81967.765625
300,recon_loss,80602.2265625
300,kl_loss,102.08708190917969
300,kl_loss_0,4.486027240753174
300,kl_loss_1,41.988067626953125
300,kl_loss_2,5.480414390563965
300,kl_loss_3,4.764889240264893
300,kl_loss_4,4.126992702484131
300,kl_loss_5,8.27946662902832
300,kl_loss_6,3.377986192703247
300,kl_loss_7,23.9892520904541
300,kl_loss_8,5.593988418579102
300,loss,80760.4375
350,recon_loss,79811.265625
350,kl_loss,97.76689147949219
350,kl_loss_0,4.189218997955322
350,kl_loss_1,39.94062805175781
350,kl_loss_2,5.397923469543457
350,kl_loss_3,4.732399940490723
350,kl_loss_4,4.0490803718566895
350,kl_loss_5,7.715037822723389
350,kl_loss_6,3.1887526512145996
350,kl_loss_7,23.08716583251953
350,kl_loss_8,5.466687202453613
350,loss,79949.453125
400,recon_loss,78943.125
400,kl_loss,98.69612121582031
400,kl_loss_0,3.8535003662109375
400,kl_loss_1,39.63089370727539
400,kl_loss_2,5.508483409881592
400,kl_loss_3,5.087301731109619
400,kl_loss_4,4.136716842651367
400,kl_loss_5,8.166576385498047
400,kl_loss_6,3.345792531967163
400,kl_loss_7,23.423595428466797
400,kl_loss_8,5.543245792388916
400,loss,79416.6796875
450,recon_loss,77064.9765625
450,kl_loss,98.84254455566406
450,kl_loss_0,3.750955820083618
450,kl_loss_1,38.38751983642578
450,kl_loss_2,5.692808628082275
450,kl_loss_3,5.286862373352051
450,kl_loss_4,4.209432601928711
450,kl_loss_5,8.69131851196289
450,kl_loss_6,3.6931185722351074
450,kl_loss_7,23.657821655273438
450,kl_loss_8,5.472704887390137
450,loss,77429.1875
500,recon_loss,71326.015625
500,kl_loss,105.2295150756836
500,kl_loss_0,3.8837618827819824
500,kl_loss_1,40.815216064453125
500,kl_loss_2,6.02883243560791
500,kl_loss_3,5.551054000854492
500,kl_loss_4,4.34058952331543
500,kl_loss_5,9.72077465057373
500,kl_loss_6,4.739590644836426
500,kl_loss_7,24.394834518432617
500,kl_loss_8,5.754856586456299
500,loss,72630.4453125
550,recon_loss,48648.484375
550,kl_loss,92.33016204833984
550,kl_loss_0,3.5801796913146973
550,kl_loss_1,35.86859130859375
550,kl_loss_2,5.162652015686035
550,kl_loss_3,4.667201519012451
550,kl_loss_4,3.984241008758545
550,kl_loss_5,8.615294456481934
550,kl_loss_6,4.605224132537842
550,kl_loss_7,21.263288497924805
550,kl_loss_8,4.583485126495361
550,loss,49303.109375
600,recon_loss,36260.32421875
600,kl_loss,112.50010681152344
600,kl_loss_0,4.355237007141113
600,kl_loss_1,45.1217155456543
600,kl_loss_2,6.05202579498291
600,kl_loss_3,5.203550815582275
600,kl_loss_4,4.608884811401367
600,kl_loss_5,11.05573844909668
600,kl_loss_6,5.441510200500488
600,kl_loss_7,25.53687286376953
600,kl_loss_8,5.124566078186035
600,loss,36793.640625
650,recon_loss,22571.94921875
650,kl_loss,125.8018798828125
650,kl_loss_0,5.197189807891846
650,kl_loss_1,51.322898864746094
650,kl_loss_2,6.798463344573975
650,kl_loss_3,5.6328959465026855
