Epoch,Loss,Value
0,recon_loss,544316.5625
0,kl_loss,1.271863341331482
0,kl_loss_0,0.017546413466334343
0,kl_loss_1,0.039796605706214905
0,kl_loss_2,0.2885841131210327
0,kl_loss_3,0.09515050053596497
0,kl_loss_4,0.11911363899707794
0,kl_loss_5,0.5049182772636414
0,kl_loss_6,0.08393068611621857
0,kl_loss_7,0.05200289562344551
0,kl_loss_8,0.07082019001245499
0,loss,1860464.5
50,recon_loss,197092.59375
50,kl_loss,134.2248077392578
50,kl_loss_0,11.313798904418945
50,kl_loss_1,4.369834899902344
50,kl_loss_2,25.2108097076416
50,kl_loss_3,4.046201705932617
50,kl_loss_4,3.370729923248291
50,kl_loss_5,35.876258850097656
50,kl_loss_6,37.457061767578125
50,kl_loss_7,8.66009521484375
50,kl_loss_8,3.920017957687378
50,loss,198731.8125
100,recon_loss,91411.0234375
100,kl_loss,143.13584899902344
100,kl_loss_0,15.87612533569336
100,kl_loss_1,3.895404577255249
100,kl_loss_2,30.003660202026367
100,kl_loss_3,4.018136501312256
100,kl_loss_4,3.472526788711548
100,kl_loss_5,40.311527252197266
100,kl_loss_6,33.98643493652344
100,kl_loss_7,7.638065338134766
100,kl_loss_8,3.9339687824249268
100,loss,91850.5390625
150,recon_loss,79474.0234375
150,kl_loss,140.00489807128906
150,kl_loss_0,15.37125015258789
150,kl_loss_1,3.8012750148773193
150,kl_loss_2,29.639955520629883
150,kl_loss_3,3.9720380306243896
150,kl_loss_4,3.370384454727173
150,kl_loss_5,39.4995002746582
150,kl_loss_6,32.885684967041016
150,kl_loss_7,7.538104057312012
150,kl_loss_8,3.926706552505493
150,loss,79782.234375
200,recon_loss,75653.3125
200,kl_loss,132.61387634277344
200,kl_loss_0,14.392739295959473
200,kl_loss_1,3.660233736038208
200,kl_loss_2,27.71092987060547
200,kl_loss_3,3.8539698123931885
200,kl_loss_4,3.268326997756958
200,kl_loss_5,37.003814697265625
200,kl_loss_6,31.4096736907959
200,kl_loss_7,7.490633487701416
200,kl_loss_8,3.823556423187256
200,loss,75893.7109375
250,recon_loss,73592.5390625
250,kl_loss,123.30365753173828
250,kl_loss_0,12.950650215148926
250,kl_loss_1,3.5761559009552
250,kl_loss_2,25.37380599975586
250,kl_loss_3,3.7285356521606445
250,kl_loss_4,3.1607041358947754
250,kl_loss_5,33.86688232421875
250,kl_loss_6,29.422494888305664
250,kl_loss_7,7.527541637420654
250,kl_loss_8,3.696882963180542
250,loss,73932.703125
300,recon_loss,72118.75
300,kl_loss,116.41803741455078
300,kl_loss_0,12.152631759643555
